,paperName,paperCitation
75,Automated Test Generation for Hardware Trojan Detection using Reinforcement Learning.,23
114,Aging-Aware Request Scheduling for Non-Volatile Main Memory.,17
133,Algebraic and Boolean Optimization Methods for AQFP Superconducting Circuits.,8
35,Layout Symmetry Annotation for Analog Circuits with Graph Neural Networks.,7
82,Learning Assisted Side Channel Delay Test for Detection of Recycled ICs.,6
