,PaperName,Year,sources,place,authors,hyperlink,citationG,citationO,citationI
112,SAC: A Stream Aware Write Cache Scheme for Multi-Streamed Solid State Drives.,2021,ACM, Taiwan,"Bo Zhou, Chuanming Ding, Yina Lv, Chun Jason Xue, Qingfeng Zhuge, Edwin H.-M. Sha, Liang Shi",https://doi.org/10.1145/3394885.3431520,0,0,0
113,Providing Plug N' Play for Processing-in-Memory Accelerators.,2021,ACM, Taiwan,"Paulo C. Santos, Bruno E. Forlin, Luigi Carro",https://doi.org/10.1145/3394885.3431527,0,2,0
114,Aging-Aware Request Scheduling for Non-Volatile Main Memory.,2021,ACM, Taiwan,"Shihao Song, Anup Das, Onur Mutlu, Nagarajan Kandasamy",https://doi.org/10.1145/3394885.3431529,0,17,0
115,Placement for Wafer-Scale Deep Learning Accelerator.,2021,ACM, Taiwan,"Benzheng Li, Qi Du, Dingcheng Liu, Jingchong Zhang, Gengjie Chen, Hailong You",https://doi.org/10.1145/3394885.3431563,0,0,0
116,Net2: A Graph Attention Network Method Customized for Pre-Placement Net Length Estimation.,2021,ACM, Taiwan,"Zhiyao Xie, Rongjian Liang, Xiaoqing Xu, Jiang Hu, Yixiao Duan, Yiran Chen",https://doi.org/10.1145/3394885.3431562,0,0,0
117,Machine Learning-based Structural Pre-route Insertability Prediction and Improvement with Guided Backpropagation.,2021,ACM, Taiwan,"Tao-Chun Yu, Shao-Yun Fang, Hsien-Shih Chiu, Kai-Shun Hu, Chin-Hsiung Hsu, Philip Hui-Yuh Tai, Cindy Chin-Fang Shen",https://doi.org/10.1145/3394885.3431564,0,0,0
118,Standard Cell Routing with Reinforcement Learning and Genetic Algorithm in Advanced Technology Nodes.,2021,ACM, Taiwan,"Haoxing Ren, Matthew Fojtik",https://doi.org/10.1145/3394885.3431569,0,5,0
119,Thermal and IR Drop Analysis Using Convolutional Encoder-Decoder Networks.,2021,ACM, Taiwan,"Vidya A. Chhabria, Vipul Ahuja, Ashwath Prabhu, Nikhil Patil, Palkesh Jain, Sachin S. Sapatnekar",https://doi.org/10.1145/3394885.3431583,0,6,0
120,GRA-LPO: Graph Convolution Based Leakage Power Optimization.,2021,ACM, Taiwan,"Uday Mallappa, Chung-Kuan Cheng",https://doi.org/10.1145/3394885.3431574,0,0,0
121,DEF: Differential Encoding of Featuremaps for Low Power Convolutional Neural Network Accelerators.,2021,ACM, Taiwan,"Alexander Montgomerie-Corcoran, Christos-Savvas Bouganis",https://doi.org/10.1145/3394885.3431576,0,0,0
122,Temperature-Aware Optimization of Monolithic 3D Deep Neural Network Accelerators.,2021,ACM, Taiwan,"Prachi Shukla, Sean S. Nemtzow, Vasilis F. Pavlidis, Emre Salman, Ayse K. Coskun",https://doi.org/10.1145/3394885.3431577,0,0,0
123,Gravity: An Artificial Neural Network Compiler for Embedded Applications.,2021,ACM, Taiwan,Tony Givargis,https://doi.org/10.1145/3394885.3431514,0,0,0
124,A Self-Test Framework for Detecting Fault-induced Accuracy Drop in Neural Network Accelerators.,2021,ACM, Taiwan,"Fanruo Meng, Fateme S. Hosseini, Chengmo Yang",https://doi.org/10.1145/3394885.3431519,0,0,0
125,Facilitating the Efficiency of Secure File Data and Metadata Deletion on SMR-based Ext4 File System.,2021,ACM, Taiwan,"Ping-Xiang Chen, Shuo-Han Chen, Yuan-Hao Chang, Yu-Pei Liang, Wei-Kuan Shih",https://doi.org/10.1145/3394885.3431517,0,0,0
126,Efficient Computing Platform Design for Autonomous Driving Systems.,2021,ACM, Taiwan,"Shuang Liang, Changcheng Tang, Xuefei Ning, Shulin Zeng, Jincheng Yu, Yu Wang, Kaiyuan Guo, Diange Yang, Tianyi Lu, Huazhong Yang",https://doi.org/10.1145/3394885.3431620,0,1,0
127,On Designing Computing Systems for Autonomous Vehicles: a PerceptIn Case Study.,2021,ACM, Taiwan,"Bo Yu, Jie Tang, Shaoshan Liu",https://doi.org/10.1145/3394885.3431621,0,1,0
128,Runtime Software Selection for Adaptive Automotive Systems.,2021,ACM, Taiwan,"Chia-Ching Fu, Ben-Hau Chia, Chung-Wei Lin",https://doi.org/10.1145/3394885.3431622,0,0,0
129,Safety-Assured Design and Adaptation of Learning-Enabled Autonomous Systems.,2021,ACM, Taiwan,"Qi Zhu, Chao Huang, Ruochen Jiao, Shuyue Lan, Hengyi Liang, Xiangguo Liu, Yixuan Wang, Zhilu Wang, Shichao Xu",https://doi.org/10.1145/3394885.3431623,0,2,0
130,System-Level Verification of Linear and Non-Linear Behaviors of RF Amplifiers using Metamorphic Relations.,2021,ACM, Taiwan,"Muhammad Hassan, Daniel Große, Rolf Drechsler",https://doi.org/10.1145/3394885.3431592,0,2,0
131,Random Stimuli Generation for the Verification of Quantum Circuits.,2021,ACM, Taiwan,"Lukas Burgholzer, Richard Kueng, Robert Wille",https://doi.org/10.1145/3394885.3431590,0,5,0
132,Exploiting Extended Krylov Subspace for the Reduction of Regular and Singular Circuit Models.,2021,ACM, Taiwan,"Chrysostomos Chatzigeorgiou, Dimitrios Garyfallou, George Floros, Nestor E. Evmorfopoulos, George I. Stamoulis",https://doi.org/10.1145/3394885.3431589,0,1,0
133,Algebraic and Boolean Optimization Methods for AQFP Superconducting Circuits.,2021,ACM, Taiwan,"Eleonora Testa, Siang-Yun Lee, Heinz Riener, Giovanni De Micheli",https://doi.org/10.1145/3394885.3431606,0,8,0
134,Dynamical Decomposition and Mapping of MPMCT Gates to Nearest Neighbor Architectures.,2021,ACM, Taiwan,"Atsushi Matsuo, Wakaki Hattori, Shigeru Yamashita",https://doi.org/10.1145/3394885.3431605,0,1,0
135,Exploiting Quantum Teleportation in Quantum Circuit Mapping.,2021,ACM, Taiwan,"Stefan Hillmich, Alwin Zulehner, Robert Wille",https://doi.org/10.1145/3394885.3431604,0,2,0
136,Hardware-Aware NAS Framework with Layer Adaptive Scheduling on Embedded System.,2021,ACM, Taiwan,"Chuxi Li, Xiaoya Fan, Shengbing Zhang, Zhao Yang, Miao Wang, Danghui Wang, Meng Zhang",https://doi.org/10.1145/3394885.3431536,0,1,0
137,Dataflow-Architecture Co-Design for 2.5D DNN Accelerators using Wireless Network-on-Package.,2021,ACM, Taiwan,"Robert Guirado, Hyoukjun Kwon, Sergi Abadal, Eduard Alarcón, Tushar Krishna",https://doi.org/10.1145/3394885.3431537,0,2,0
138,Block-Circulant Neural Network Accelerator Featuring Fine-Grained Frequency-Domain Quantization and Reconfigurable FFT Modules.,2021,ACM, Taiwan,"Yifan He, Jinshan Yue, Yongpan Liu, Huazhong Yang",https://doi.org/10.1145/3394885.3431532,0,0,0
139,BatchSizer: Power-Performance Trade-off for DNN Inference.,2021,ACM, Taiwan,"Seyed Morteza Nabavinejad, Sherief Reda, Masoumeh Ebrahimi",https://doi.org/10.1145/3394885.3431535,0,0,0
140,Deep Learning for Mask Synthesis and Verification: A Survey.,2021,ACM, Taiwan,Yibo Lin,https://doi.org/10.1145/3394885.3431624,0,0,0
141,Physical Synthesis for Advanced Neural Network Processors.,2021,ACM, Taiwan,"Zhuolun He, Peiyu Liao, Siting Liu, Yuzhe Ma, Yibo Lin, Bei Yu",https://doi.org/10.1145/3394885.3431625,0,2,0
142,Advancements and Challenges on Parasitic Extraction for Advanced Process Technologies.,2021,ACM, Taiwan,"Wenjian Yu, Mingye Song, Ming Yang",https://doi.org/10.1145/3394885.3431626,0,2,2
143,Reliability-Aware Training and Performance Modeling for Processing-In-Memory Systems.,2021,ACM, Taiwan,"Hanbo Sun, Zhenhua Zhu, Yi Cai, Shulin Zeng, Kaizhong Qiu, Yu Wang, Huazhong Yang",https://doi.org/10.1145/3394885.3431633,0,1,0
144,Robustness of Neuromorphic Computing with RRAM-based Crossbars and Optical Neural Networks.,2021,ACM, Taiwan,"Grace Li Zhang, Bing Li, Ying Zhu, Tianchen Wang, Yiyu Shi, Xunzhao Yin, Cheng Zhuo, Huaxi Gu, Tsung-Yi Ho, Ulf Schlichtmann",https://doi.org/10.1145/3394885.3431634,0,0,0
145,Uncertainty Modeling of Emerging Device based Computing-in-Memory Neural Accelerators with Application to Neural Architecture Search.,2021,ACM, Taiwan,"Zheyu Yan, Da-Cheng Juan, Xiaobo Sharon Hu, Yiyu Shi",https://doi.org/10.1145/3394885.3431635,0,3,0
146,A Physical-Aware Framework for Memory Network Design Space Exploration.,2021,ACM, Taiwan,"Tianhao Shen, Di Gao, Li Zhang, Jishen Zhao, Cheng Zhuo",https://doi.org/10.1145/3394885.3431636,0,0,0
147,Manufacturing-Aware Power Staple Insertion Optimization by Enhanced Multi-Row Detailed Placement Refinement.,2021,ACM, Taiwan,"Yu-Jin Xie, Kuan-Yu Chen, Wai-Kei Mak",https://doi.org/10.1145/3394885.3431570,0,0,0
148,A Hierarchical Assessment Strategy on Soft Error Propagation in Deep Learning Controller.,2021,ACM, Taiwan,"Ting Liu, Yuzhuo Fu, Yan Zhang, Bin Shi",https://doi.org/10.1145/3394885.3431573,0,0,0
149,Attacking a CNN-based Layout Hotspot Detector Using Group Gradient Method.,2021,ACM, Taiwan,"Haoyu Yang, Shifan Zhang, Kang Liu, Siting Liu, Benjamin Tan, Ramesh Karri, Siddharth Garg, Bei Yu, Evangeline F. Y. Young",https://doi.org/10.1145/3394885.3431571,0,0,0
150,Bayesian Inference on Introduced General Region: An Efficient Parametric Yield Estimation Method for Integrated Circuits.,2021,ACM, Taiwan,"Zhengqi Gao, Zihao Chen, Jun Tao, Yangfeng Su, Dian Zhou, Xuan Zeng",https://doi.org/10.1145/3394885.3431572,0,0,0
151,Analog IC Aging-induced Degradation Estimation via Heterogeneous Graph Convolutional Networks.,2021,ACM, Taiwan,"Tinghuan Chen, Qi Sun, Canhui Zhan, Changze Liu, Huatao Yu, Bei Yu",https://doi.org/10.1145/3394885.3431546,0,3,0
