,PaperName,Year,sources,place,authors,hyperlink,citationG,citationO,citationI
24,Sub-10-μm Coil Design for Multi-Hop Inductive Coupling Interface.,2021,ACM, Taiwan,"Tatsuo Omori, Kota Shiba, Mototsugu Hamada, Tadahiro Kuroda",https://doi.org/10.1145/3394885.3431649,0,0,0
25,Current-Starved Chaotic Oscillator Over Multiple Frequency Decades on Low-Cost CMOS: Towards Distributed and Scalable Environmental Sensing with a Myriad of Nodes.,2021,ACM, Taiwan,"Korkut Kaan Tokgoz, Ludovico Minati, Hiroyuki Ito",https://doi.org/10.1145/3394885.3431651,0,0,0
26,TCI Tester: Tester for Through Chip Interface.,2021,ACM, Taiwan,"Hideto Kayashima, Hideharu Amano",https://doi.org/10.1145/3394885.3431660,0,0,0
27,An 18 Bit Time-to-Digital Converter Design with Large Dynamic Range and Automated Multi-Cycle Concept.,2021,ACM, Taiwan,"Peter Toth, Hiroki Ishikuro",https://doi.org/10.1145/3394885.3431643,1,1,0
28,Connection-based Processing-In-Memory Engine Design Based on Resistive Crossbars.,2021,ACM, Taiwan,"Shuhang Zhang, Hai Helen Li, Ulf Schlichtmann",https://doi.org/10.1145/3394885.3431523,1,0,0
29,FePIM: Contention-Free In-Memory Computing Based on Ferroelectric Field-Effect Transistors.,2021,ACM, Taiwan,"Xiaoming Chen, Yuping Wu, Yinhe Han",https://doi.org/10.1145/3394885.3431530,2,0,0
30,RIME: A Scalable and Energy-Efficient Processing-In-Memory Architecture for Floating-Point Operations.,2021,ACM, Taiwan,"Zhaojun Lu, Md Tanvir Arafin, Gang Qu",https://doi.org/10.1145/3394885.3431524,8,0,0
31,A Non-Volatile Computing-In-Memory Framework With Margin Enhancement Based CSA and Offset Reduction Based ADC.,2021,ACM, Taiwan,"Yuxuan Huang, Yifan He, Jinshan Yue, Huazhong Yang, Yongpan Liu",https://doi.org/10.1145/3394885.3431521,1,0,0
32,"Cross-layer Design for Computing-in-Memory: From Devices, Circuits, to Architectures and Applications.",2021,ACM, Taiwan,"Hussam Amrouch, Xiaobo Sharon Hu, Mohsen Imani, Ann Franchesca Laguna, Michael T. Niemier, Simon Thomann, Xunzhao Yin, Cheng Zhuo",https://doi.org/10.1145/3394885.3431617,1,0,0
33,Automatic Surrogate Model Generation and Debugging of Analog/Mixed-Signal Designs Via Collaborative Stimulus Generation and Machine Learning.,2021,ACM, Taiwan,"Jun-Yang Lei, Abhijit Chatterjee",https://doi.org/10.1145/3394885.3431544,1,1,0
